usage: train.py [-h] [--debug] [--no-cuda] [--dataset DATASET] [--seed SEED]
                [--mask_ratio MASK_RATIO] [--tau TAU] [--dropout DROPOUT]
                [--beta BETA] [--alpha ALPHA] [--augment AUGMENT]
                [--predictor PREDICTOR] [--lr LR] [--dim_embs DIM_EMBS]
                [--epochs EPOCHS]
train.py: error: argument --no-cuda: ignored explicit argument 'false'
Namespace(alpha=0.8, augment='delete', beta=0.0005, dataset='bitcoin_alpha-2', debug=False, dim_embs=32, dropout=0.5, epochs=2000, lr=0.005, mask_ratio=0.1, no_cuda=False, predictor='2-linear', seed=2023, tau=0.05)
{'train_auc': 0.5, 'train_f1': 0.0, 'train_pos_ratio': 0.9357945425361156, 'train_epoch': 0, 'train_macro_f1': 0.060331825037707384, 'train_micro_f1': 0.06420545746388442, 'val_auc': 0.5, 'val_f1': 0.0, 'val_pos_ratio': 0.9396195202646815, 'val_epoch': 0, 'val_macro_f1': 0.05694227769110764, 'val_micro_f1': 0.060380479735318446, 'test_auc': 0.5, 'test_f1': 0.0, 'test_pos_ratio': 0.9408602150537635, 'test_epoch': 0, 'test_macro_f1': 0.05583756345177666, 'test_micro_f1': 0.05913978494623656}
{'train_auc': 0.5, 'train_f1': 0.0, 'train_pos_ratio': 0.9357945425361156, 'train_epoch': 0, 'train_macro_f1': 0.060331825037707384, 'train_micro_f1': 0.06420545746388442, 'val_auc': 0.5, 'val_f1': 0.0, 'val_pos_ratio': 0.9396195202646815, 'val_epoch': 0, 'val_macro_f1': 0.05694227769110764, 'val_micro_f1': 0.060380479735318446, 'test_auc': 0.5, 'test_f1': 0.0, 'test_pos_ratio': 0.9408602150537635, 'test_epoch': 0, 'test_macro_f1': 0.05583756345177666, 'test_micro_f1': 0.05913978494623656}
{'train_auc': 0.5, 'train_f1': 0.0, 'train_pos_ratio': 0.9357945425361156, 'train_epoch': 1, 'train_macro_f1': 0.060331825037707384, 'train_micro_f1': 0.06420545746388442, 'val_auc': 0.5, 'val_f1': 0.0, 'val_pos_ratio': 0.9396195202646815, 'val_epoch': 1, 'val_macro_f1': 0.05694227769110764, 'val_micro_f1': 0.060380479735318446, 'test_auc': 0.5, 'test_f1': 0.0, 'test_pos_ratio': 0.9408602150537635, 'test_epoch': 1, 'test_macro_f1': 0.05583756345177666, 'test_micro_f1': 0.05913978494623656}
{'train_auc': 0.5, 'train_f1': 0.0, 'train_pos_ratio': 0.9357945425361156, 'train_epoch': 2, 'train_macro_f1': 0.060331825037707384, 'train_micro_f1': 0.06420545746388442, 'val_auc': 0.5, 'val_f1': 0.0, 'val_pos_ratio': 0.9396195202646815, 'val_epoch': 2, 'val_macro_f1': 0.05694227769110764, 'val_micro_f1': 0.060380479735318446, 'test_auc': 0.5, 'test_f1': 0.0, 'test_pos_ratio': 0.9408602150537635, 'test_epoch': 2, 'test_macro_f1': 0.05583756345177666, 'test_micro_f1': 0.05913978494623656}
{'train_auc': 0.5, 'train_f1': 0.0, 'train_pos_ratio': 0.9357945425361156, 'train_epoch': 3, 'train_macro_f1': 0.060331825037707384, 'train_micro_f1': 0.06420545746388442, 'val_auc': 0.5, 'val_f1': 0.0, 'val_pos_ratio': 0.9396195202646815, 'val_epoch': 3, 'val_macro_f1': 0.05694227769110764, 'val_micro_f1': 0.060380479735318446, 'test_auc': 0.5, 'test_f1': 0.0, 'test_pos_ratio': 0.9408602150537635, 'test_epoch': 3, 'test_macro_f1': 0.05583756345177666, 'test_micro_f1': 0.05913978494623656}
{'train_auc': 0.5, 'train_f1': 0.0, 'train_pos_ratio': 0.9357945425361156, 'train_epoch': 4, 'train_macro_f1': 0.060331825037707384, 'train_micro_f1': 0.06420545746388442, 'val_auc': 0.5, 'val_f1': 0.0, 'val_pos_ratio': 0.9396195202646815, 'val_epoch': 4, 'val_macro_f1': 0.05694227769110764, 'val_micro_f1': 0.060380479735318446, 'test_auc': 0.5, 'test_f1': 0.0, 'test_pos_ratio': 0.9408602150537635, 'test_epoch': 4, 'test_macro_f1': 0.05583756345177666, 'test_micro_f1': 0.05913978494623656}
{'train_auc': 0.5, 'train_f1': 0.0, 'train_pos_ratio': 0.9357945425361156, 'train_epoch': 5, 'train_macro_f1': 0.060331825037707384, 'train_micro_f1': 0.06420545746388442, 'val_auc': 0.5, 'val_f1': 0.0, 'val_pos_ratio': 0.9396195202646815, 'val_epoch': 5, 'val_macro_f1': 0.05694227769110764, 'val_micro_f1': 0.060380479735318446, 'test_auc': 0.5, 'test_f1': 0.0, 'test_pos_ratio': 0.9408602150537635, 'test_epoch': 5, 'test_macro_f1': 0.05583756345177666, 'test_micro_f1': 0.05913978494623656}
{'train_auc': 0.5, 'train_f1': 0.0, 'train_pos_ratio': 0.9357945425361156, 'train_epoch': 6, 'train_macro_f1': 0.060331825037707384, 'train_micro_f1': 0.06420545746388442, 'val_auc': 0.5, 'val_f1': 0.0, 'val_pos_ratio': 0.9396195202646815, 'val_epoch': 6, 'val_macro_f1': 0.05694227769110764, 'val_micro_f1': 0.060380479735318446, 'test_auc': 0.5, 'test_f1': 0.0, 'test_pos_ratio': 0.9408602150537635, 'test_epoch': 6, 'test_macro_f1': 0.05583756345177666, 'test_micro_f1': 0.05913978494623656}
{'train_auc': 0.5, 'train_f1': 0.0, 'train_pos_ratio': 0.9357945425361156, 'train_epoch': 7, 'train_macro_f1': 0.060331825037707384, 'train_micro_f1': 0.06420545746388442, 'val_auc': 0.5, 'val_f1': 0.0, 'val_pos_ratio': 0.9396195202646815, 'val_epoch': 7, 'val_macro_f1': 0.05694227769110764, 'val_micro_f1': 0.060380479735318446, 'test_auc': 0.5, 'test_f1': 0.0, 'test_pos_ratio': 0.9408602150537635, 'test_epoch': 7, 'test_macro_f1': 0.05583756345177666, 'test_micro_f1': 0.05913978494623656}
{'train_auc': 0.5, 'train_f1': 0.0, 'train_pos_ratio': 0.9357945425361156, 'train_epoch': 8, 'train_macro_f1': 0.060331825037707384, 'train_micro_f1': 0.06420545746388442, 'val_auc': 0.5, 'val_f1': 0.0, 'val_pos_ratio': 0.9396195202646815, 'val_epoch': 8, 'val_macro_f1': 0.05694227769110764, 'val_micro_f1': 0.060380479735318446, 'test_auc': 0.5, 'test_f1': 0.0, 'test_pos_ratio': 0.9408602150537635, 'test_epoch': 8, 'test_macro_f1': 0.05583756345177666, 'test_micro_f1': 0.05913978494623656}
{'train_auc': 0.5, 'train_f1': 0.0, 'train_pos_ratio': 0.9357945425361156, 'train_epoch': 9, 'train_macro_f1': 0.060331825037707384, 'train_micro_f1': 0.06420545746388442, 'val_auc': 0.5, 'val_f1': 0.0, 'val_pos_ratio': 0.9396195202646815, 'val_epoch': 9, 'val_macro_f1': 0.05694227769110764, 'val_micro_f1': 0.060380479735318446, 'test_auc': 0.5, 'test_f1': 0.0, 'test_pos_ratio': 0.9408602150537635, 'test_epoch': 9, 'test_macro_f1': 0.05583756345177666, 'test_micro_f1': 0.05913978494623656}
{'train_auc': 0.5, 'train_f1': 0.0, 'train_pos_ratio': 0.9357945425361156, 'train_epoch': 10, 'train_macro_f1': 0.060331825037707384, 'train_micro_f1': 0.06420545746388442, 'val_auc': 0.5, 'val_f1': 0.0, 'val_pos_ratio': 0.9396195202646815, 'val_epoch': 10, 'val_macro_f1': 0.05694227769110764, 'val_micro_f1': 0.060380479735318446, 'test_auc': 0.5, 'test_f1': 0.0, 'test_pos_ratio': 0.9408602150537635, 'test_epoch': 10, 'test_macro_f1': 0.05583756345177666, 'test_micro_f1': 0.05913978494623656}
{'train_auc': 0.5, 'train_f1': 0.0, 'train_pos_ratio': 0.9357945425361156, 'train_epoch': 11, 'train_macro_f1': 0.060331825037707384, 'train_micro_f1': 0.06420545746388442, 'val_auc': 0.5, 'val_f1': 0.0, 'val_pos_ratio': 0.9396195202646815, 'val_epoch': 11, 'val_macro_f1': 0.05694227769110764, 'val_micro_f1': 0.060380479735318446, 'test_auc': 0.5, 'test_f1': 0.0, 'test_pos_ratio': 0.9408602150537635, 'test_epoch': 11, 'test_macro_f1': 0.05583756345177666, 'test_micro_f1': 0.05913978494623656}
{'train_auc': 0.5, 'train_f1': 0.0, 'train_pos_ratio': 0.9357945425361156, 'train_epoch': 12, 'train_macro_f1': 0.060331825037707384, 'train_micro_f1': 0.06420545746388442, 'val_auc': 0.5, 'val_f1': 0.0, 'val_pos_ratio': 0.9396195202646815, 'val_epoch': 12, 'val_macro_f1': 0.05694227769110764, 'val_micro_f1': 0.060380479735318446, 'test_auc': 0.5, 'test_f1': 0.0, 'test_pos_ratio': 0.9408602150537635, 'test_epoch': 12, 'test_macro_f1': 0.05583756345177666, 'test_micro_f1': 0.05913978494623656}
{'train_auc': 0.5, 'train_f1': 0.0, 'train_pos_ratio': 0.9357945425361156, 'train_epoch': 13, 'train_macro_f1': 0.060331825037707384, 'train_micro_f1': 0.06420545746388442, 'val_auc': 0.5, 'val_f1': 0.0, 'val_pos_ratio': 0.9396195202646815, 'val_epoch': 13, 'val_macro_f1': 0.05694227769110764, 'val_micro_f1': 0.060380479735318446, 'test_auc': 0.5, 'test_f1': 0.0, 'test_pos_ratio': 0.9408602150537635, 'test_epoch': 13, 'test_macro_f1': 0.05583756345177666, 'test_micro_f1': 0.05913978494623656}
{'train_auc': 0.5, 'train_f1': 0.0, 'train_pos_ratio': 0.9357945425361156, 'train_epoch': 14, 'train_macro_f1': 0.060331825037707384, 'train_micro_f1': 0.06420545746388442, 'val_auc': 0.5, 'val_f1': 0.0, 'val_pos_ratio': 0.9396195202646815, 'val_epoch': 14, 'val_macro_f1': 0.05694227769110764, 'val_micro_f1': 0.060380479735318446, 'test_auc': 0.5, 'test_f1': 0.0, 'test_pos_ratio': 0.9408602150537635, 'test_epoch': 14, 'test_macro_f1': 0.05583756345177666, 'test_micro_f1': 0.05913978494623656}
{'train_auc': 0.5, 'train_f1': 0.0, 'train_pos_ratio': 0.9357945425361156, 'train_epoch': 15, 'train_macro_f1': 0.060331825037707384, 'train_micro_f1': 0.06420545746388442, 'val_auc': 0.5, 'val_f1': 0.0, 'val_pos_ratio': 0.9396195202646815, 'val_epoch': 15, 'val_macro_f1': 0.05694227769110764, 'val_micro_f1': 0.060380479735318446, 'test_auc': 0.5, 'test_f1': 0.0, 'test_pos_ratio': 0.9408602150537635, 'test_epoch': 15, 'test_macro_f1': 0.05583756345177666, 'test_micro_f1': 0.05913978494623656}
{'train_auc': 0.5, 'train_f1': 0.0, 'train_pos_ratio': 0.9357945425361156, 'train_epoch': 16, 'train_macro_f1': 0.060331825037707384, 'train_micro_f1': 0.06420545746388442, 'val_auc': 0.5, 'val_f1': 0.0, 'val_pos_ratio': 0.9396195202646815, 'val_epoch': 16, 'val_macro_f1': 0.05694227769110764, 'val_micro_f1': 0.060380479735318446, 'test_auc': 0.5, 'test_f1': 0.0, 'test_pos_ratio': 0.9408602150537635, 'test_epoch': 16, 'test_macro_f1': 0.05583756345177666, 'test_micro_f1': 0.05913978494623656}
{'train_auc': 0.5, 'train_f1': 0.0, 'train_pos_ratio': 0.9357945425361156, 'train_epoch': 17, 'train_macro_f1': 0.060331825037707384, 'train_micro_f1': 0.06420545746388442, 'val_auc': 0.5, 'val_f1': 0.0, 'val_pos_ratio': 0.9396195202646815, 'val_epoch': 17, 'val_macro_f1': 0.05694227769110764, 'val_micro_f1': 0.060380479735318446, 'test_auc': 0.5, 'test_f1': 0.0, 'test_pos_ratio': 0.9408602150537635, 'test_epoch': 17, 'test_macro_f1': 0.05583756345177666, 'test_micro_f1': 0.05913978494623656}
